iter	Passed	Remaining
249	543	1631
250	544	1625
251	545	1619
252	546	1612
253	547	1606
254	547	1600
255	548	1593
256	549	1587
257	549	1581
258	550	1575
259	551	1569
260	552	1563
261	552	1557
262	553	1551
263	554	1545
264	555	1539
265	555	1533
266	556	1527
267	558	1526
268	559	1521
269	560	1515
270	561	1509
271	561	1504
272	562	1498
273	563	1492
274	564	1487
275	564	1481
276	565	1476
277	566	1470
278	567	1465
279	567	1459
280	568	1454
281	569	1449
282	570	1444
283	570	1438
284	572	1436
285	574	1434
286	575	1429
287	576	1424
288	576	1419
289	577	1414
290	578	1409
291	579	1404
292	579	1399
293	580	1395
294	581	1390
295	582	1386
296	583	1381
297	584	1377
298	585	1373
299	588	1372
300	589	1368
301	590	1364
302	590	1359
303	592	1355
304	593	1351
305	594	1347
306	594	1342
307	595	1338
308	596	1334
309	597	1330
310	598	1325
311	599	1321
312	600	1317
313	600	1312
314	604	1313
315	605	1309
316	605	1305
317	606	1301
318	607	1297
319	608	1293
320	609	1288
321	610	1285
322	611	1281
323	612	1277
324	613	1273
325	613	1269
326	614	1265
327	615	1260
328	618	1262
329	619	1258
330	620	1254
331	621	1250
332	622	1246
333	623	1242
334	624	1238
335	625	1235
336	625	1231
337	626	1227
338	627	1223
339	628	1220
340	629	1216
341	630	1212
342	631	1209
343	632	1205
344	633	1202
345	634	1198
346	634	1194
347	635	1191
348	637	1189
349	640	1188
350	640	1184
351	641	1180
352	642	1177
353	642	1173
354	643	1169
355	644	1165
356	644	1161
357	645	1157
358	646	1154
359	647	1150
360	647	1146
361	648	1143
362	649	1139
363	650	1136
364	650	1132
365	654	1133
366	655	1129
367	655	1126
368	656	1122
369	657	1119
370	658	1115
371	658	1112
372	659	1108
373	660	1105
374	661	1101
375	661	1098
376	662	1094
377	663	1091
378	663	1087
379	664	1084
380	665	1081
381	666	1077
382	669	1078
383	670	1075
384	671	1072
385	672	1069
386	672	1065
387	673	1062
388	674	1059
389	674	1055
390	675	1052
391	676	1049
392	677	1045
393	677	1042
394	678	1039
395	679	1036
396	680	1033
397	680	1029
398	681	1026
399	684	1026
400	685	1023
401	685	1020
402	686	1017
403	687	1014
404	688	1010
405	688	1007
406	689	1004
407	690	1001
408	690	998
409	691	995
410	692	992
411	693	989
412	694	986
413	694	983
414	695	980
415	696	977
416	697	974
417	698	971
418	698	968
419	699	965
420	700	962
421	700	959
422	701	956
423	702	954
424	703	951
425	703	948
426	704	945
427	705	942
428	706	939
429	706	936
430	707	934
431	708	931
432	709	928
433	711	928
434	712	925
435	713	923
436	714	920
437	715	917
438	716	915
439	717	912
440	718	910
441	718	907
442	719	904
443	720	902
444	721	899
445	721	896
446	722	893
447	723	891
448	724	888
449	727	889
450	728	887
451	729	884
452	730	882
453	731	879
454	731	876
455	732	874
456	733	871
457	734	868
458	734	866
459	735	863
460	736	860
461	737	858
462	737	855
